Rank Weapon,Kills per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage,Rank,Weapon
Iron 1 Vandal,8.5,2.5,11.3,72.1,16.5,118,Iron 1,Vandal
Iron 1 Phantom,7,2,10.5,71.7,17.9,115,Iron 1,Phantom
Bronze 1 Vandal,11.5,1.9,13.4,74.6,13.3,119,Bronze 1,Vandal
Bronze 1 Phantom,7,1,12.3,74.4,13.3,119,Bronze 1,Phantom
Silver 1 Vandal,13.1,1.1,15.7,74.8,9.5,125,Silver 1,Vandal
Silver 1 Phantom,7.3,0.4,14.5,75.1,10.5,122,Silver 1,Phantom
Gold 1 Vandal,15.7,0.7,17.8,74.2,8,126,Gold 1,Vandal
Gold 1 Phantom,8.4,0.2,16.5,74.8,8.8,122,Gold 1,Phantom
Platinum 1 Vandal,16.1,0.5,19.7,73.2,7,126,Platinum 1,Vandal
Platinum 1 Phantom,8.9,0.1,18.3,74,7.7,123,Platinum 1,Phantom
Diamond 1 Vandal,16.2,0.4,21.2,72.2,6.6,127,Diamond 1,Vandal
Diamond 1 Phantom,9.1,0.1,19.6,73.1,7.3,123,Diamond 1,Phantom
Immortal Vandal,38.4,0.7,23.5,70.5,6,127,Immortal,Vandal
Immortal Phantom,20.8,0.1,21.5,71.8,6.7,124,Immortal,Phantom
Radiant Vandal,20.7,0.3,25.7,68.5,5.8,129,Radiant,Vandal
Radiant Phantom,13.1,0.1,23,70.6,6.4,126,Radiant,Phantom
